'gerencia_id','ibge','id','nome'
'11','2500106','1','Água Branca'
'7','2500205','2','Aguiar'
'3','2500304','3','Alagoa Grande'
'3','2500403','4','Alagoa Nova'
'2','2500502','5','Alagoinha'
'3','2500536','6','Alcantil'
'3','2500577','7','Algodão de Jandaíra'
'1','2500601','8','Alhandra'
'5','2500734','9','Amparo'
'10','2500775','10','Aparecida'
'2','2500809','11','Araçagi'
'3','2500908','12','Arara'
'2','2501005','13','Araruna'
'3','2501104','14','Areia'
'6','2501153','15','Areia de Baraúnas'
'3','2501203','16','Areial'
'3','2501302','17','Aroeiras'
'3','2501351','18','Assunção'
'1','2501401','19','Baía da Traição'
'2','2501500','20','Bananeiras'
'4','2501534','21','Baraúna'
'4','2501609','22','Barra de Santa Rosa'
'3','2501575','23','Barra de Santana'
'3','2501708','24','Barra de São Miguel'
'1','2501807','25','Bayeux'
'2','2501906','26','Belém'
'8','2502003','27','Belém do Brejo do Cruz'
'9','2502052','28','Bernardino Batista'
'7','2502102','29','Boa Ventura'
'3','2502151','30','Boa Vista'
'9','2502201','31','Bom Jesus'
'8','2502300','32','Bom Sucesso'
'9','2502409','33','Bonito de Santa Fé'
'3','2502508','34','Boqueirão'
'2','2502706','35','Borborema'
'8','2502805','36','Brejo do Cruz'
'8','2502904','37','Brejo dos Santos'
'1','2503001','38','Caaporã'
'3','2503100','39','Cabaceiras'
'1','2503209','40','Cabedelo'
'9','2503308','41','Cachoeira dos Índios'
'6','2503407','42','Cacimba de Areia'
'2','2503506','43','Cacimba de Dentro'
'6','2503555','44','Cacimbas'
'2','2503605','45','Caiçara'
'9','2503704','46','Cajazeiras'
'10','2503753','47','Cajazeirinhas'
'12','2503803','48','Caldas Brandão'
'5','2503902','49','Camalaú'
'3','2504009','50','Campina Grande'
'1','2504033','51','Capim'
'5','2504074','52','Caraúbas'
'9','2504108','53','Carrapateira'
'2','2504157','54','Casserengue'
'6','2504207','55','Catingueira'
'8','2504306','56','Catolé do Rocha'
'3','2504355','57','Caturité'
'7','2504405','58','Conceição'
'6','2504504','59','Condado'
'1','2504603','60','Conde'
'5','2504702','61','Congo'
'7','2504801','62','Coremas'
'5','2504850','63','Coxixola'
'1','2504900','64','Cruz do Espírito Santo'
'4','2505006','65','Cubati'
'4','2505105','66','Cuité'
'1','2505238','67','Cuité de Mamanguape'
'2','2505204','68','Cuitegi'
'1','2505279','69','Curral de Cima'
'7','2505303','70','Curral Velho'
'4','2505352','71','Damião'
'6','2505402','72','Desterro'
'7','2505600','73','Diamante'
'2','2505709','74','Dona Inês'
'2','2505808','75','Duas Estradas'
'6','2505907','76','Emas'
'3','2506004','77','Esperança'
'3','2506103','78','Fagundes'
'4','2506202','79','Frei Martinho'
'3','2506251','80','Gado Bravo'
'2','2506301','81','Guarabira'
'12','2506400','82','Gurinhém'
'5','2506509','83','Gurjão'
'7','2506608','84','Ibiara'
'7','2502607','85','Igaracy'
'11','2506707','86','Imaculada'
'12','2506806','87','Ingá'
'12','2506905','88','Itabaiana'
'7','2507002','89','Itaporanga'
'1','2507101','90','Itapororoca'
'12','2507200','91','Itatuba'
'1','2507309','92','Jacaraú'
'8','2507408','93','Jericó'
'1','2507507','94','João Pessoa'
'9','2513653','95','Joca Claudino'
'12','2507606','96','Juarez Távora'
'3','2507705','97','Juazeirinho'
'6','2507804','98','Junco do Seridó'
'12','2507903','99','Juripiranga'
'11','2508000','100','Juru'
'10','2508109','101','Lagoa'
'2','2508208','102','Lagoa de Dentro'
'3','2508307','103','Lagoa Seca'
'10','2508406','104','Lastro'
'3','2508505','105','Livramento'
'2','2508554','106','Logradouro'
'1','2508604','107','Lucena'
'6','2508703','108','Mãe d''Água'
'6','2508802','109','Malta'
'1','2508901','110','Mamanguape'
'11','2509008','111','Manaíra'
'1','2509057','112','Marcação'
'1','2509107','113','Mari'
'10','2509156','114','Marizópolis'
'3','2509206','115','Massaranduba'
'1','2509305','116','Mataraca'
'3','2509339','117','Matinhas'
'8','2509370','118','Mato Grosso'
'6','2509396','119','Maturéia'
'12','2509404','120','Mogeiro'
'3','2509503','121','Montadas'
'9','2509602','122','Monte Horebe'
'5','2509701','123','Monteiro'
'2','2509800','124','Mulungu'
'3','2509909','125','Natuba'
'10','2510006','126','Nazarezinho'
'4','2510105','127','Nova Floresta'
'7','2510204','128','Nova Olinda'
'4','2510303','129','Nova Palmeira'
'7','2510402','130','Olho d''Água'
'3','2510501','131','Olivedos'
'5','2510600','132','Ouro Velho'
'5','2510659','133','Parari'
'6','2510709','134','Passagem'
'6','2510808','135','Patos'
'10','2510907','136','Paulista'
'7','2511004','137','Pedra Branca'
'4','2511103','138','Pedra Lavrada'
'12','2511202','139','Pedras de Fogo'
'1','2512721','140','Pedro Régis'
'7','2511301','141','Piancó'
'4','2511400','142','Picuí'
'12','2511509','143','Pilar'
'2','2511608','144','Pilões'
'2','2511707','145','Pilõezinhos'
'2','2511806','146','Pirpirituba'
'1','2511905','147','Pitimbu'
'3','2512002','148','Pocinhos'
'9','2512036','149','Poço Dantas'
'9','2512077','150','Poço de José de Moura'
'10','2512101','151','Pombal'
'5','2512200','152','Prata'
'11','2512309','153','Princesa Isabel'
'3','2512408','154','Puxinanã'
'3','2512507','155','Queimadas'
'6','2512606','156','Quixabá'
'3','2512705','157','Remígio'
'2','2512747','158','Riachão'
'12','2512754','159','Riachão do Bacamarte'
'1','2512762','160','Riachão do Poço'
'3','2512788','161','Riacho de Santo Antônio'
'8','2512804','162','Riacho dos Cavalos'
'1','2512903','163','Rio Tinto'
'6','2513000','164','Salgadinho'
'12','2513109','165','Salgado de São Félix'
'3','2513158','166','Santa Cecília'
'10','2513208','167','Santa Cruz'
'9','2513307','168','Santa Helena'
'7','2513356','169','Santa Inês'
'6','2513406','170','Santa Luzia'
'1','2513703','171','Santa Rita'
'6','2513802','172','Santa Teresinha'
'7','2513505','173','Santana de Mangueira'
'7','2513604','174','Santana dos Garrotes'
'3','2513851','175','Santo André'
'10','2513927','176','São Bentinho'
'8','2513901','177','São Bento'
'10','2513968','178','São Domingos'
'3','2513943','179','São Domingos do Cariri'
