'cnes','id','municipio_id','nome'
'2342235','1','40','CENTRO MUNICIPAL DE REFERENCIA EM SAUDE LEONARD MOZART'
'2362414','2','50','CASA DA CRIANCA DR JOAO MOURA'
'2399016','3','94','USF INTEGRADA GROTAO'
'2650592','4','50','CLINICA DE C PLASTICA DE C GRANDE'
'3020304','5','40','CENTRO DE ATENCAO PSICOSSOCIAL CAPS II PORTO CIDADANIA'
'3276511','6','94','CAME CENTRO DE ASSISTENCIA MEDICA ESPECIALIZADA'
'3297101','7','94','CONSULTORIO MEDICO DR EUZELIA MOURA MORORO'
'3364607','8','94','CONSULTORIO MEDICO DR METHODIO MARANHAO PEREIRA DINIZ'
'3370135','9','94','CONSULTORIO MEDICO DR ALMIRA DE FARIAS AGUIAR'
'3616576','10','94','CONSULTORIO OFTALMOLOGICO DR ANTONIO FERREIRA DIAS JUNIOR'
'3635767','11','94','CONSULTORIO ODONTOLOGICO PATRICIA COUTINHO F C BRANCO'
'3911497','12','50','ALEXANDRE DE CASTRO BATISTA LEITE'
'5053188','13','50','UBS ARAXA'
'5243270','14','94','ORTHOCENTER'
'5647266','15','94','CONSULTORIO ODONTOLOGICO JAINARA MARIA SOARES FERREIRA'
'7085184','16','94','CONSULTORIO MEDICO DRA KAREN FERNANDES'
'3237443','17','94','CLINICA DR ROSEANE DORE SOARES LTDA'
'2341417','18','94','NEFRUZA'
'2399520','19','94','CENTRO MEDICO DR EVANDRO DO EGYPTO'
'2755793','20','94','MICROANALISE'
'2821842','21','135','POLICLINICA DE PATOS'
'3056600','22','94','UD DIAGNOSTICO POR IMAGEM'
'3249638','23','94','CONSULTORIO MEDICO DR SUELY SIMOES SOUTO'
'3267180','24','94','CONSULTORIO ODONTOLOGICO GILVANA DE MIRANDA LTDA'
'3286428','25','94','CONSULTORIO ODONTOLOGICO KLEBER FIGUEIRA'
'3313085','26','94','CENPRO'
'3343162','27','94','CONSULTORIO MEDICO DR JOSE NONATO FERNANDES SPINELLI'
'3354830','28','94','CONSULTORIO MEDICO DR JOSE GERSON MOREIRA GADELHA'
'3368629','29','94','CONSULTORIO MEDICO DR SONIA MAIA DE FARIAS'
'3385248','30','50','MARGARIDA ROSA DOS SANTOS ALMEIDA DE ALMEIDA'
'3404897','31','94','CONSULTORIO MEDICO DR PERICLES JOSE CARVALHO DE OLIVEIRA'
'3501957','32','50','CARLOS ALBERTO DE LIMA BARBOSA'
'3555402','33','50','CONFISIO'
'3612864','34','94','CONSULTORIO ODONTOLOGICO CLEUMA OLIVEIRA DE FARIAS'
'3628671','35','94','CONSULTORIO MEDICO INFECTOLOGISTA DR FRANCISCO O FERNANDES'
'3682196','36','94','PERIODONTO CLINICA DE ODONTOLOGIA S S LTDA'
'3986616','37','94','HOSPITAL RESIDENCIAL'
'5166926','38','50','MARIA DINALVA BARBOSA TOME'
'5528739','39','50','MARIZA ALEXANDRE DE SANTANA'
'3327701','40','50','VALDINETE GUEDES PINHEIRO'
'7100248','41','17','SAMU 192 BASE DESCENTRALIZADA DE AROEIRAS USB'
'7100221','42','17','SAMU 192 BASE DESCENTRALIZADA DE AROEIRAS USA'
'3063437','43','94','USF INTEGRADA VILA SAUDE'
'3063577','44','94','USF INTEGRADA COMPLEXO VERDE MARES'
'3081141','45','50','CENTRO DE DIAGNOSTICO'
'3096378','46','210','CAPS AD III REGIONAL WALTER SARMENTO DE SA'
'7105436','47','37','LABORATORIO MUNICIPAL DE ANALISES CLINICAS'
'7106750','48','94','DIA DIAGNOSTICO POR IMAGEM'
'7109482','49','94','CENTRO DE REDUCACAO FEMININO MARIA JULIA MARANHAO'
'7108621','50','94','CONSULTORIO ODONTOLOGICO LUIZ FERNANDO CARVALHO'
'7107501','51','113','J C PROTESE DENTARIO'
'7087411','52','136','LABZEN'
'2362600','53','50','UBS ODETE LEANDRO DE OLIVEIRA'
'2362627','54','50','UBS WILSON FURTADO'
'2362643','55','50','UBS NELY MAIA'
'2362678','56','50','UBS TAMBOR I'
'2362686','57','50','UBS BAIRRO DAS CIDADES I'
'2362694','58','50','UBS CATOLE DE ZE FERREIRA'
'2362708','59','50','UBS TOTA AGRA'
'2362740','60','50','UBS ROSA MISTICA'
'2362759','61','50','UBS BENJAMIM B DA SILVA'
'2362813','62','50','GERENCIA DE VIGILANCIA SANITARIA GEVISA'
'2362856','63','50','HOSPITAL REGIONAL DE EMERG TRAUMA DOM LUIZ GONZAGA FERNANDES'
'2362902','64','50','INSTITUTO PASTEUR'
'2363054','65','50','CLINICA DE OLHOS FRANCISCO PINTO'
'2363127','66','50','LAB ANALISES C ADELMO LUIS LTDA'
'2363135','67','50','CLAC'
'2363194','68','50','OFTALMOCLINICA SAULO FREIRE LTDA'
'2363224','69','50','GINOCLINICA E LABOANALISES'
'2363275','70','50','VIGILANCIA EPIDEM DE CAMPINA GRANDE'
'2399229','71','94','POLICLINICA MUNICIPAL DE MANDACARU'
'2400189','72','94','PULMOCARDIO'
'2592746','73','171','HOSPITAL E MATERNIDADE FLAVIO RIBEIRO COUTINHO'
'2595370','74','50','UBS BONALD FILHO'
'2595397','75','50','UBS RONALDO CUNHA LIMA'
'2595400','76','50','UBS HINDEMBURGO NUNES DE FIGUEIREDO'
'2595435','77','50','UBS JOSE AURINO DE BARROS FILHO'
'2595451','78','50','UBS CRISOSTOMO LUCENA'
'2605074','79','135','UNIDADE DE SAUDE DA FAMILIA NABOR WANDERLEY'
'2605090','80','135','UNIDADE DE SAUDE DA FAMILIA ENALDO TORRES FERNANDES'
'2605244','81','135','UNIDADE DE SAUDE DA FAMILIA ROSINHA XAVIER'
'2612615','82','50','UCD UNID CAMPINENSE DE DIAGNOSTICO LTDA'
'2612755','83','50','HELITON AURELIO DE LIMA'
'2612763','84','50','JOSE LUIS DA SILVA FILHO'
'2613743','85','50','SAS'
'2757893','86','155','UBSF VILA'
'2792796','87','50','UBS PORTEIRA DE PEDRA'
'2792877','88','50','UBS VELAME'
'2798565','89','94','USF INTEGRADA JARDIM PLANALTO'
'2821818','90','171','ESCOLA MUNICIPAL INDIO PIRAGIBE'
'3006212','91','94','USF INTEGRADA CUIA'
'3014266','92','94','USF FUNCIONARIOS I 1 ETAPA'
'3016803','93','50','PROMEDICA'
'3027155','94','25','UBS MARIO ANDREAZZA II'
'3050173','95','94','CECAD'
'3053377','96','94','CLINEL'
'2313618','97','210','ESF XVIII SAO JOSE'
'2313642','98','50','HCG HOSPITAL CAMPINA GRANDE'
'3924793','99','50','DENIZE NOBREGA PIRES'
'3924955','100','50','SEVERINO DE SOUSA SILVA FILHO'
'3925021','101','50','GLADSTONE BOTTO DE ALMEIDA'
'3943003','102','50','MARCOS ARRUDA'
'5019923','103','50','MILTON ANTONIO GANCALVES DE OLIVEIRA'
'5040566','104','50','MARIA BERNADETE GOMES DA COSTA'
'5116449','105','50','UBS PLINIO LEMOS'
'5116457','106','50','UBS CAMPOS SALES'
'5168139','107','50','ADELLE BEZERRA NUNES'
'5214815','108','50','HOSPITAL MEMORIAL RUBENS DUTRA SEGUNDO'
'5241928','109','50','GERALDO ANTONIO DE MEDEIROS'
'5287383','110','50','UCD LABORATORIO UNIDADE CIENTIFICA DE DIAGNOSTICO'
'5305527','111','50','UNIDADE CAMPINENSE DE MAMA'
'5325234','112','50','MARINALVA TORRES CAVALCANTE'
'5326672','113','94','CEREST'
'3360059','114','171','CLINICA DE CARDIOLOGIA DR WANDERLEY'
'3361039','115','50','CONSULTORIO MEDICO DRA GRACAS LOUREIRO'
'3371999','116','94','CONSULTORIO MEDICO DR JORGE LUIZ COSTA DA FONSECA'
'3380173','117','94','UNIDADE ISOLADA DE TFD SESPB'
'3441873','118','94','CLINICA DR DELFIM SOARES'
'3448223','119','94','CONSULTORIO MEDICO DR JOAO BENEDITO DE F VINAGRE'
'3448231','120','94','CONSULTORIO MEDICO DR LUZIA AMELIA DE O P VINAGRE'
'3493121','121','135','UNIDADE DE SAUDE DA FAMILIA ROBERTO OBA'
'3517500','122','94','CONSULTORIO MEDICO DR MARIA DA LUZ CUNHA P GORENSTIN'
'3549348','123','25','CEO II CENTRO DE ESPECIALIDADES ODONTOLOGICAS'
'3558126','124','94','CONSULTORIO ODONTOLOGICO KEZIAH M BRITO SILVA LUCENA'
'3559599','125','171','CONSULTORIO ODONTOLOGICO'
'3714462','126','94','CONSULTORIO MEDICO DR JOSE AUGUSTO ROMERO NETO'
'3845885','127','50','CENTRO PSYCHE SERVICOS DE SAUDE LTDA'
'3873706','128','50','CENTRO DE ATENCAO PSICOSSOCIAL CAPS III REVIVER'
'3916014','129','50','MARIA FRANCISCA DE SOUSA'
'3117073','130','210','CITOCLIN ANALISES CLINICAS'
'3128563','131','171','SANAC LABORAT SANTARITENSE E DE ANAL CLIN LTDA'
'3134741','132','50','DIAGNOSE I'
'3137384','133','50','BIOANALISE'
'3137651','134','50','HEMOCLIN'
'3138089','135','135','CLINICA DE FISIOTERAPIA DRA FRANCISCA MARACAJA'
'3202739','136','210','CLINOS'
'3204782','137','210','LACLI'
'3210375','138','50','CLINICA DE OLHOS FRANCISCO PINTO UNIDADE II'
'7124295','139','50','CLINICA DE ACUPUNTURA AMANDA CUNHA PESSOA'
'7123558','140','88','SAMU 192 BASE ITABAIANA USA'
'7149832','141','78','POSTO DE SAUDE DE LARANGEIRAS'
'7149387','142','135','CENTRAL DE REGULACAO'
'5377420','143','50','BEATRIZ ADELINO BRASILEIRO SILVA'
'5473829','144','50','MAIS ODONTO ASSISTENCIA ODONTOLOGICA'
'5473888','145','50','SEME SERVICOS MEDICOS EBENEZER LTDA ME'
'5491215','146','50','UBS ESTACAO VELHA'
'5511453','147','50','BERNARDO ARAUJO ARRUDA'
'5521785','148','50','GASTRO CLINICA DE CAMPINA GRANDE S C'
'5547016','149','50','TEREZA RAQUEL DE BRITO FILGUEIRAS D AMORIM'
'5570522','150','135','CENTRO DE ATENCAO PSICOSSOCIAL ALCOOL E DROGAS'
'5590647','151','50','ANA CECILIA ARAUJO ARRUDA'
'5621739','152','50','CARLOS ALEXANDRE GALDINO DE ARAUJO'
'5624061','153','94','CONSULTORIO DE PSICOLOGIA POLYANNY PATRICYA LINS BEZERRA'
'5624088','154','94','CONSULTORIO DE PSICOLOGIA ANA LINS BEZERRA'
'5695600','155','50','COR VISUAL'
'5695627','156','50','VASCULAR CLINICAL'
'5695651','157','50','CONSULTORIO DE CARDIOLOGIA E CLINICA MEDICA'
'5861055','158','25','CENTRAL DE REGULACAO DE SERVICOS DE SAUDE'
